Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9408584,"An Offer From a Gentleman (Bridgertons, #3)",Julia Quinn,"Quinn, Julia",,"=""""","=""""",3,3.94,Avon,Paperback,390,2009,2001,2024/09/12,2024/09/05,,,read,,,,1,0
110391,"The Duke and I (Bridgertons, #1)",Julia Quinn,"Quinn, Julia",,"=""0380800829""","=""9780380800827""",3,3.79,Avon Books,Mass Market Paperback,384,2006,2000,2024/08/31,2024/09/02,,,read,,,,1,0
861326,"The Viscount Who Loved Me (Bridgertons, #2)",Julia Quinn,"Quinn, Julia",,"=""""","=""""",3,4.00,Avon,Mass Market Paperback,354,2006,2000,2024/09/03,2024/09/02,,,read,,,,1,0
40648264,El hombre de tiza,C.J. Tudor,"Tudor, C.J.",,"=""607316646X""","=""9786073166461""",3,3.70,Plaza & Janes,Paperback,352,2018,2018,2024/08/02,2024/08/21,,,read,,,,1,0
68427,"Elantris (Elantris, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765350378""","=""9780765350374""",5,4.18,Tor Fantasy,Mass Market Paperback,638,2006,2005,2024/07/26,2024/08/21,,,read,,,,1,0
61326735,"Love, Theoretically",Ali Hazelwood,"Hazelwood, Ali",,"=""1408725797""","=""9781408725795""",3,4.10,Little Brown Books,Paperback,389,2023,2023,2024/07/16,2024/07/16,,,read,,,,1,0
56918758,"Promesa de sangre (Magos de la pólvora, #1)",Brian  McClellan,"McClellan, Brian",Federico Cristante,"=""8412299221""","=""9788412299229""",5,4.14,Gamon,Hardcover,564,2021,2013,2024/07/14,2024/07/05,,,read,,,,1,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",3,4.14,Berkley Books,Paperback,383,2021,2021,2024/07/04,2024/07/02,,,read,,,,1,0
2947273,A sangre fría,Truman Capote,"Capote, Truman",Jesús Zulaika Goicoechea,"=""""","=""""",3,4.09,Editorial Anagrama,Mass Market Paperback,440,2006,1959,2024/07/02,2024/06/27,,,read,,,,1,0
11564,The Girl Who Loved Tom Gordon,Stephen         King,"King, Stephen",,"=""1416524290""","=""9781416524298""",0,3.63,Pocket,Paperback,264,2000,1999,,2024/07/03,to-read,to-read (#47),to-read,,,,0,0
6026313,Fortaleza Digital,Dan       Brown,"Brown, Dan",Mário Dias Correia,"=""9722514695""","=""9789722514699""",2,3.70,Bertrand Editora,Paperback,447,2006,1998,,2018/10/05,,,read,,,,1,0
